pr_number,pr_url,pr_state,comment_type,reviewer,created_at,path,category,body
9121,https://github.com/open-telemetry/opentelemetry.io/pull/9121,merged,issue_comment,vitorvasc,2026-02-12T13:53:09Z,,ci-fix-command,/fix:refcache
9121,https://github.com/open-telemetry/opentelemetry.io/pull/9121,merged,issue_comment,otelbot-docs,2026-02-12T14:00:58Z,,bot-status,❌ `fix:refcache` failed or exited with a non-zero error code (0). See logs: https://github.com/open-telemetry/opentelemetry.io/actions/runs/21949376115
9121,https://github.com/open-telemetry/opentelemetry.io/pull/9121,merged,issue_comment,vitorvasc,2026-02-12T15:55:12Z,,process-workflow,"> Oh whoops, messed up the history for a minute, sorry!

No worries at all! The checks are looking good now, thanks! 🙌🏼"
9149,https://github.com/open-telemetry/opentelemetry.io/pull/9149,merged,inline_comment,svrnm,2026-02-11T11:17:50Z,data/registry/application-integration-go-traefik-proxy.yml,duplicate-entry,"we have an entry for ""[Traefik Hub API Management](https://traefik.io/traefik-hub/)"" already, I assume this is different, right?"
9195,https://github.com/open-telemetry/opentelemetry.io/pull/9195,merged,issue_comment,otelbot-docs,2026-02-17T20:54:04Z,,bot-status,✅ `fix:refcache` applied successfully in [run 22115087056](https://github.com/open-telemetry/opentelemetry.io/actions/runs/22115087056).
9195,https://github.com/open-telemetry/opentelemetry.io/pull/9195,merged,review_approved,vitorvasc,2026-02-18T10:40:45Z,,approval-note,Thanks!
9224,https://github.com/open-telemetry/opentelemetry.io/pull/9224,merged,issue_comment,otelbot-docs,2026-02-19T18:30:29Z,,bot-status,✅ `fix:refcache` applied successfully in [run 22194489411](https://github.com/open-telemetry/opentelemetry.io/actions/runs/22194489411).
9234,https://github.com/open-telemetry/opentelemetry.io/pull/9234,merged,inline_comment,vitorvasc,2026-02-20T14:42:34Z,data/registry/collector-receiver-opcua.yml,description-quality,"```suggestion
  the LogObject specification [(OPC UA Part 26)](https://reference.opcfoundation.org/Core/Part26/v105/docs/) and converts them to OpenTelemetry
```"
9234,https://github.com/open-telemetry/opentelemetry.io/pull/9234,merged,review_approved,vitorvasc,2026-02-20T14:44:32Z,,approval-note,"Thanks! I've left a quick inline suggestion adding the specification reference, if that makes sense. 

Otherwise, LGTM! 🙂"
9234,https://github.com/open-telemetry/opentelemetry.io/pull/9234,merged,issue_comment,vitorvasc,2026-02-20T14:44:44Z,,ci-fix-command,/fix:all
9234,https://github.com/open-telemetry/opentelemetry.io/pull/9234,merged,issue_comment,otelbot-docs,2026-02-20T14:53:51Z,,bot-status,✅ `fix:all` applied successfully in [run 22228492842](https://github.com/open-telemetry/opentelemetry.io/actions/runs/22228492842).
9234,https://github.com/open-telemetry/opentelemetry.io/pull/9234,merged,issue_comment,vitorvasc,2026-02-23T19:45:17Z,,ci-fix-command,/fix:all
9234,https://github.com/open-telemetry/opentelemetry.io/pull/9234,merged,issue_comment,otelbot-docs,2026-02-23T19:54:34Z,,bot-status,✅ `fix:all` applied successfully in [run 22322076323](https://github.com/open-telemetry/opentelemetry.io/actions/runs/22322076323).
9234,https://github.com/open-telemetry/opentelemetry.io/pull/9234,merged,inline_comment,vitorvasc,2026-02-23T19:58:44Z,data/registry/collector-receiver-opcua.yml,spelling-cspell,"Just one final adjustment to fix the spell checker: 

```suggestion
# cSpell:ignore Brüggemann opcua
```"
9244,https://github.com/open-telemetry/opentelemetry.io/pull/9244,merged,issue_comment,otelbot-docs,2026-02-23T13:44:52Z,,bot-status,✅ `fix:refcache` applied successfully in [run 22308255606](https://github.com/open-telemetry/opentelemetry.io/actions/runs/22308255606).
9244,https://github.com/open-telemetry/opentelemetry.io/pull/9244,merged,inline_comment,vitorvasc,2026-02-23T20:24:29Z,data/registry/tools-go-motel.yml,spelling-cspell,"```suggestion
# cSpell:ignore Hodgson
title: motel
```"
9244,https://github.com/open-telemetry/opentelemetry.io/pull/9244,merged,review_approved,vitorvasc,2026-02-24T10:57:12Z,,approval-note,Thanks!
9246,https://github.com/open-telemetry/opentelemetry.io/pull/9246,merged,issue_comment,vitorvasc,2026-02-23T19:28:31Z,,process-workflow,/easycla
9246,https://github.com/open-telemetry/opentelemetry.io/pull/9246,merged,review_approved,vitorvasc,2026-02-24T10:55:56Z,,approval-note,Thanks!
9278,https://github.com/open-telemetry/opentelemetry.io/pull/9278,merged,review_commented,copilot-pull-request-reviewer,2026-02-26T14:58:48Z,,automated-review-summary,"## Pull request overview

This PR refreshes the reference cache by updating the repository URL for the Java Javalin instrumentation entry. The change removes the version-specific suffix from the repository path, updating it from `instrumentation/javalin-5.0` to `instrumentation/javalin`. This is part of a broader cache refresh effort that updates 800 of the oldest refcache entries.

**Changes:**
- Updated the repository URL for the Java Javalin instrumentation to point to a version-agnostic path"
9295,https://github.com/open-telemetry/opentelemetry.io/pull/9295,merged,inline_comment,vitorvasc,2026-02-27T15:00:16Z,data/registry/collector-extension-k8ssaauth.yml,spelling-cspell,"```suggestion
# cSpell:ignore Jamstah ssaauthextension
title: Kubernetes Service Account Authenticator Extension
```"
9295,https://github.com/open-telemetry/opentelemetry.io/pull/9295,merged,issue_comment,vitorvasc,2026-02-27T15:13:20Z,,ci-fix-command,/fix:all
9295,https://github.com/open-telemetry/opentelemetry.io/pull/9295,merged,issue_comment,otelbot-docs,2026-02-27T15:22:39Z,,bot-status,✅ `fix:all` applied successfully in [run 22491803795](https://github.com/open-telemetry/opentelemetry.io/actions/runs/22491803795).
9295,https://github.com/open-telemetry/opentelemetry.io/pull/9295,merged,issue_comment,chalin,2026-02-27T19:02:13Z,,process-workflow,@Jamstah - heads up that I'll be testing `/fix` directives over this PR. Apologies for the noise.
9295,https://github.com/open-telemetry/opentelemetry.io/pull/9295,merged,issue_comment,chalin,2026-02-27T19:02:20Z,,ci-fix-command,/fix:all
9295,https://github.com/open-telemetry/opentelemetry.io/pull/9295,merged,issue_comment,chalin,2026-02-27T19:14:40Z,,ci-fix-command,/fix
9295,https://github.com/open-telemetry/opentelemetry.io/pull/9295,merged,inline_comment,cartermp,2026-02-28T17:43:36Z,data/registry/collector-extension-k8ssaauth.yml,spelling-cspell,"```suggestion
# cSpell:ignore Jamstah ssaauthextension k8ssaauthextension
```"
9295,https://github.com/open-telemetry/opentelemetry.io/pull/9295,merged,inline_comment,cartermp,2026-02-28T18:03:48Z,data/registry/collector-extension-k8ssaauth.yml,registry-metadata,"I think this should be a value like `go-collector`, but I'm honestly not sure if that's the correct ""allowed value"" (values are unspecified).

@svrnm any thoughts? This is a consequence of the registry validator throwing an error here."
9295,https://github.com/open-telemetry/opentelemetry.io/pull/9295,merged,issue_comment,cartermp,2026-02-28T18:55:50Z,,broken-link,@Jamstah seems like this needs to be available in gopkg https://pkg.go.dev/search?q=k8ssaauthextension
9295,https://github.com/open-telemetry/opentelemetry.io/pull/9295,merged,issue_comment,otelbot-docs,2026-03-02T10:11:11Z,,bot-status,✅ `fix:refcache` applied successfully in [run 22570964058](https://github.com/open-telemetry/opentelemetry.io/actions/runs/22570964058).
9296,https://github.com/open-telemetry/opentelemetry.io/pull/9296,merged,inline_comment,cartermp,2026-02-28T17:34:36Z,.devcontainer/devcontainer.json,approval-note,"Yeah this is fine, looks like the tag just represents an updated debian base image."
9375,https://github.com/open-telemetry/opentelemetry.io/pull/9375,closed_unmerged,inline_comment,vitorvasc,2026-03-10T10:12:42Z,data/registry/utilities-js-smapped-traces.yml,spelling-cspell,"```suggestion
# cSpell:ignore jrandolf nextjs smapped
title: smapped-traces
```"
9375,https://github.com/open-telemetry/opentelemetry.io/pull/9375,closed_unmerged,inline_comment,vitorvasc,2026-03-12T10:15:19Z,data/registry/utilities-js-smapped-traces.yml,registry-metadata,"We can drop this section for this component: 

```suggestion
```

This should also fix the [workflow errors](https://github.com/open-telemetry/opentelemetry.io/actions/runs/22996350595/job/66770263464?pr=9375) we're seeing."
9375,https://github.com/open-telemetry/opentelemetry.io/pull/9375,closed_unmerged,issue_comment,vitorvasc,2026-03-13T09:31:03Z,,ci-fix-command,/fix:refcache
9375,https://github.com/open-telemetry/opentelemetry.io/pull/9375,closed_unmerged,issue_comment,otelbot-docs,2026-03-13T09:38:26Z,,bot-status,❌ `fix:refcache` failed or exited with a non-zero error code (0). See logs: https://github.com/open-telemetry/opentelemetry.io/actions/runs/23044694761
9375,https://github.com/open-telemetry/opentelemetry.io/pull/9375,closed_unmerged,issue_comment,tiffany76,2026-03-13T23:07:31Z,,ci-fix-command,/fix:refcache
9375,https://github.com/open-telemetry/opentelemetry.io/pull/9375,closed_unmerged,issue_comment,otelbot-docs,2026-03-13T23:15:02Z,,bot-status,❌ `fix:refcache` failed or exited with a non-zero error code (0). See logs: https://github.com/open-telemetry/opentelemetry.io/actions/runs/23074099052
9375,https://github.com/open-telemetry/opentelemetry.io/pull/9375,closed_unmerged,issue_comment,vitorvasc,2026-03-16T10:58:30Z,,ci-fix-command,"Hi @jrandolf!

There's just one last fix needed before we can move forward and merge this PR, which is the reference cache. It seems like our bot can't apply that fix through the `/fix:refcache` command via the GitHub workflow, and I wonder if this is because you're using a fork from an organization instead of your personal account.

Could you try running `npm run fix:refcache` locally and commit the results, please? 🙌🏼"
9375,https://github.com/open-telemetry/opentelemetry.io/pull/9375,closed_unmerged,issue_comment,vitorvasc,2026-05-13T16:25:12Z,,pr-closure,"Hi @jrandolf. Due to the lack of answer, I’m closing this pull request for now.

If you’d like to contribute in the future, feel free to open a new issue or pull request. Thanks!"
9384,https://github.com/open-telemetry/opentelemetry.io/pull/9384,merged,inline_comment,tiffany76,2026-03-12T01:34:20Z,data/registry/collector-receiver-chromium.yml,description-quality,"```suggestion
description: OTel Collector receiver for generating metrics from a Chromium instance.
```"
9384,https://github.com/open-telemetry/opentelemetry.io/pull/9384,merged,issue_comment,tiffany76,2026-03-12T19:21:12Z,,ci-fix-command,/fix:refcache
9384,https://github.com/open-telemetry/opentelemetry.io/pull/9384,merged,issue_comment,otelbot-docs,2026-03-12T19:29:18Z,,bot-status,✅ `fix:refcache` applied successfully in [run 23019741964](https://github.com/open-telemetry/opentelemetry.io/actions/runs/23019741964).
9388,https://github.com/open-telemetry/opentelemetry.io/pull/9388,merged,issue_comment,vitorvasc,2026-03-12T08:31:12Z,,ci-fix-command,/fix:refcache
9390,https://github.com/open-telemetry/opentelemetry.io/pull/9390,merged,issue_comment,vitorvasc,2026-03-12T10:56:46Z,,ci-fix-command,/fix:dict
9390,https://github.com/open-telemetry/opentelemetry.io/pull/9390,merged,issue_comment,otelbot-docs,2026-03-12T10:58:51Z,,bot-status,✅ `fix:dict` applied successfully in [run 22998573661](https://github.com/open-telemetry/opentelemetry.io/actions/runs/22998573661).
9390,https://github.com/open-telemetry/opentelemetry.io/pull/9390,merged,inline_comment,copilot-pull-request-reviewer,2026-03-12T11:00:02Z,content/ja/docs/collector/components/exporter.md,doc-content-accuracy,"The exporter list is inside a GENERATED block (ended at `<!-- END GENERATED: exporter-table -->`). Removing the `sapmexporter` row here is likely to be overwritten the next time `scripts/collector-sync` regenerates component tables, and may lead to recurring diffs/conflicts. If the intent is to drop `sapmexporter` from the table, it should be removed/filtered at the source used by the sync tooling (opentelemetry-ecosystem-explorer collector registry) or via the generator logic, then re-run the sync so all languages stay consistent.
```suggestion
| [rabbitmqexporter](https://github.com/open-telemetry/opentelemetry-collector-contrib/tree/main/exporter/rabbitmqexporter)                               | contrib                    | alpha        | alpha          | alpha       |
| [sapmexporter](https://github.com/open-telemetry/opentelemetry-collector-contrib/tree/main/exporter/sapmexporter)                                       | contrib                    | deprecated   | -              | -           |
```"
9390,https://github.com/open-telemetry/opentelemetry.io/pull/9390,merged,review_commented,copilot-pull-request-reviewer,2026-03-12T11:00:03Z,,automated-review-summary,"## Pull request overview

Removes SAPM/Splunk SAPM-related exporter entries from the site ecosystem registry and updates the Japanese Collector exporter component list to reflect the removal.

**Changes:**
- Deleted three registry YAML entries related to SAPM/Splunk SAPM exporters.
- Updated `content/ja/docs/collector/components/exporter.md` to mark `default_lang_commit` as patched and removed the `sapmexporter` row from the exporter table.

### Reviewed changes

Copilot reviewed 4 out of 5 changed files in this pull request and generated 1 comment.

| File | Description |
| ---- | ----------- |
| data/registry/collector-exporter-splunk-sapm.yml | Removes the Splunk SAPM Collector Exporter entry from the ecosystem registry. |
| data/registry/collector-exporter-splunk-apm.yml | Removes the Splunk APM (SAPM) Exporter entry from the ecosystem registry. |
| data/registry/collector-exporter-sapm.yml | Removes the SAPM Exporter entry from the ecosystem registry. |
| content/ja/docs/collector/components/exporter.md | Marks the translation metadata as patched and removes `sapmexporter` from the Japanese exporter list. |





---

You can also share your feedback on Copilot code review. [Take the survey](https://www.surveymonkey.com/r/XP6L3XJ)."
9391,https://github.com/open-telemetry/opentelemetry.io/pull/9391,merged,issue_comment,otelbot-docs,2026-03-12T12:13:18Z,,bot-status,✅ `fix:refcache` applied successfully in [run 23001123451](https://github.com/open-telemetry/opentelemetry.io/actions/runs/23001123451).
9391,https://github.com/open-telemetry/opentelemetry.io/pull/9391,merged,inline_comment,copilot-pull-request-reviewer,2026-03-12T12:37:25Z,content/en/site/build/localization/_index.md,doc-content-accuracy,"`config/_default/module-template.yaml` uses a top-level `mounts:` key (not `module.mounts`). The guide’s wording here is likely to send maintainers to the wrong place/key; please update the text to reference the actual `mounts:` section in that file (and/or clarify that this template is rendered into `module.yaml`).
```suggestion
`LANG_ID` in [`config/_default/module-template.yaml`][] under the top-level
`mounts:` section (this template is rendered into `module.yaml`).
```"
9391,https://github.com/open-telemetry/opentelemetry.io/pull/9391,merged,inline_comment,copilot-pull-request-reviewer,2026-03-12T12:37:26Z,content/en/site/build/localization/_index.md,doc-content-accuracy,"This page suggests inserting new locale blocks “in alphabetical order by language code”, but `config/_default/module-template.yaml` is not currently alphabetically ordered (e.g., the `pt` block appears after `zh`). Either adjust the guidance to match the repository’s current ordering convention, or (separately) reorder the mounts file and then keep the doc’s instruction.
```suggestion
Insert the new block alongside the existing locale blocks in
`config/_default/module-template.yaml`, following the current ordering
convention used in that file.
```"
9391,https://github.com/open-telemetry/opentelemetry.io/pull/9391,merged,inline_comment,copilot-pull-request-reviewer,2026-03-12T12:37:26Z,content/en/site/build/localization/_index.md,doc-content-accuracy,"The cspell section assumes the dictionary ID equals `LANG_ID` (e.g., `@cspell/dict-LANG_ID`), but this repo’s existing dictionaries are often region-specific (e.g., `@cspell/dict-es-es`, `@cspell/dict-pt-br`). Consider introducing a separate placeholder (like `DICT_ID`) and updating the `import:`/`dictionaries:` examples so maintainers don’t end up with a broken cspell config for languages that don’t map 1:1 to ISO 639-1."
9391,https://github.com/open-telemetry/opentelemetry.io/pull/9391,merged,inline_comment,copilot-pull-request-reviewer,2026-03-12T12:37:26Z,content/en/site/build/localization/_index.md,doc-content-accuracy,"The suggested `.prettierignore` entry format here (`content/LANG_ID/**`) doesn’t match the patterns currently used in this repo’s `.prettierignore` (directory entries like `/content/bn`, `/content/ja`, etc.). Update the snippet (and/or wording) to follow the established format so maintainers copy/paste a consistent ignore rule.
```suggestion
right-to-left or use non-Latin characters — add an ignore entry to
[`.prettierignore`][]:

```sh
/content/LANG_ID
```"
9391,https://github.com/open-telemetry/opentelemetry.io/pull/9391,merged,inline_comment,copilot-pull-request-reviewer,2026-03-12T12:37:26Z,content/en/site/build/localization/_index.md,doc-content-accuracy,"`projects/localization.md` currently lists supported languages at the top in alphabetical order by language code (bn, es, fr, …), not by English language name. Please update this instruction so it matches the actual ordering used in that file.
```suggestion
   order by language code:
```"
9391,https://github.com/open-telemetry/opentelemetry.io/pull/9391,merged,review_commented,copilot-pull-request-reviewer,2026-03-12T12:37:27Z,,automated-review-summary,"## Pull request overview

Adds a maintainer-facing onboarding page that documents the concrete repo + GitHub-org steps required to bring up a new language localization on opentelemetry.io.

**Changes:**
- Adds a new “Localization setup” maintainer guide under `/site/build/localization/`.
- Updates `static/refcache.json` with link-check cache entries for new references introduced by the doc.

### Reviewed changes

Copilot reviewed 2 out of 2 changed files in this pull request and generated 5 comments.

| File | Description |
| ---- | ----------- |
| content/en/site/build/localization/_index.md | New step-by-step maintainer guide for adding a new localization (Hugo config, mounts, cspell, Prettier, GitHub automation, project tracking, verification). |
| static/refcache.json | Refreshes link-check reference cache to include new URLs referenced by the added guide. |





---

You can also share your feedback on Copilot code review. [Take the survey](https://www.surveymonkey.com/r/XP6L3XJ)."
9391,https://github.com/open-telemetry/opentelemetry.io/pull/9391,merged,review_approved,theletterf,2026-03-13T08:07:46Z,,approval-note,"This be could be an agentic skill, too! :D"
9391,https://github.com/open-telemetry/opentelemetry.io/pull/9391,merged,inline_comment,copilot-pull-request-reviewer,2026-03-13T11:15:10Z,content/en/site/build/localization/_index.md,doc-content-accuracy,"The example import path assumes the cspell package is always `@cspell/dict-LANG_ID`. In this repo `.cspell.yml` uses region-specific dict packages/IDs for some locales (e.g. `@cspell/dict-es-es`, `@cspell/dict-pt-br`, `@cspell/dict-uk-ua`), so `LANG_ID` may not be sufficient. Consider introducing a separate placeholder for the chosen cspell package/dictionary ID and referencing that here."
9391,https://github.com/open-telemetry/opentelemetry.io/pull/9391,merged,inline_comment,copilot-pull-request-reviewer,2026-03-13T11:15:10Z,content/en/site/build/localization/_index.md,doc-content-accuracy,"The Slack channel naming guidance (`#otel-localization-LANG_ID`) doesn’t match existing entries in `projects/localization.md` (e.g. `#otel-localization-ptbr`, `#otel-localization-zhcn`). As written, maintainers may create a channel name that’s inconsistent with the canonical registry you reference earlier. Consider updating this to either (a) recommend mirroring the slug used in `projects/localization.md` (which may be more specific than ISO 639-1), or (b) explicitly call out that some languages use a disambiguating suffix and should follow existing patterns."
9391,https://github.com/open-telemetry/opentelemetry.io/pull/9391,merged,review_commented,copilot-pull-request-reviewer,2026-03-13T11:15:11Z,,automated-review-summary,"## Pull request overview

Copilot reviewed 2 out of 2 changed files in this pull request and generated 4 comments.





---

You can also share your feedback on Copilot code review. [Take the survey](https://www.surveymonkey.com/r/XP6L3XJ)."
9391,https://github.com/open-telemetry/opentelemetry.io/pull/9391,merged,inline_comment,copilot-pull-request-reviewer,2026-03-13T11:15:11Z,content/en/site/build/localization/_index.md,doc-content-accuracy,"In the `projects/localization.md` update example, the Slack channel link is written as a reference-style link with a literal URL in the second bracket (``[`#otel-localization-LANG_ID`][https://cloud-native.slack.com/archives/XXXXXXXXXXX]``). That won’t render correctly unless there’s a link reference definition whose label is that full URL. This should either be an inline link (`(... )`) or use the reference label you define later in step 4 (e.g. `...[otel-localization-LANG_ID]`)."
9391,https://github.com/open-telemetry/opentelemetry.io/pull/9391,merged,inline_comment,copilot-pull-request-reviewer,2026-03-13T11:15:11Z,content/en/site/build/localization/_index.md,doc-content-accuracy,"The `dictionaries:` example activates `LANG_ID`, but in `.cspell.yml` the dictionary IDs often include region (e.g. `es-es`, `pt-br`, `uk-ua`). If a new locale uses a regional cspell dictionary package, following this example would enable a non-existent dictionary ID. Suggest documenting that the dictionary ID to add under `dictionaries:` must match the selected `@cspell/dict-*` package’s dictionary name (not necessarily ISO 639-1)."
9391,https://github.com/open-telemetry/opentelemetry.io/pull/9391,merged,issue_comment,otelbot-docs,2026-03-13T12:07:47Z,,bot-status,✅ `fix:refcache` applied successfully in [run 23049842840](https://github.com/open-telemetry/opentelemetry.io/actions/runs/23049842840).
9405,https://github.com/open-telemetry/opentelemetry.io/pull/9405,merged,review_approved,tiffany76,2026-03-15T00:03:58Z,,approval-note,Thanks!
9405,https://github.com/open-telemetry/opentelemetry.io/pull/9405,merged,issue_comment,tiffany76,2026-03-15T00:06:31Z,,ci-fix-command,/fix:format
9405,https://github.com/open-telemetry/opentelemetry.io/pull/9405,merged,issue_comment,otelbot-docs,2026-03-15T00:09:00Z,,bot-status,✅ `fix:format` applied successfully in [run 23099319288](https://github.com/open-telemetry/opentelemetry.io/actions/runs/23099319288).
9405,https://github.com/open-telemetry/opentelemetry.io/pull/9405,merged,issue_comment,tiffany76,2026-03-15T00:10:30Z,,ci-fix-command,/fix:refcache
9405,https://github.com/open-telemetry/opentelemetry.io/pull/9405,merged,issue_comment,otelbot-docs,2026-03-15T00:15:40Z,,bot-status,❌ `fix` failed or exited with a non-zero error code (0). See logs: https://github.com/open-telemetry/opentelemetry.io/actions/runs/23099310293
9405,https://github.com/open-telemetry/opentelemetry.io/pull/9405,merged,issue_comment,otelbot-docs,2026-03-15T00:18:24Z,,bot-status,✅ `fix:refcache` applied successfully in [run 23099380922](https://github.com/open-telemetry/opentelemetry.io/actions/runs/23099380922).
9405,https://github.com/open-telemetry/opentelemetry.io/pull/9405,merged,inline_comment,tiffany76,2026-03-15T00:37:32Z,data/registry/application-integration-js-deno.yml,description-quality,"```suggestion
  OTLP, and supports custom instrumentation via the `@opentelemetry/api` npm
```"
9405,https://github.com/open-telemetry/opentelemetry.io/pull/9405,merged,issue_comment,tiffany76,2026-03-15T00:52:19Z,,process-workflow,"The branch name check is non-blocking, so I'll merge. Next time, please use a feature branch named something other than `main`. Thanks!"
9409,https://github.com/open-telemetry/opentelemetry.io/pull/9409,merged,issue_comment,theletterf,2026-03-16T09:09:04Z,,ci-lint-request,@metafab Thanks! Could you address the linter issues?
9409,https://github.com/open-telemetry/opentelemetry.io/pull/9409,merged,issue_comment,theletterf,2026-03-16T10:41:13Z,,ci-lint-request,"@metafab No worries, added that line for you."
9409,https://github.com/open-telemetry/opentelemetry.io/pull/9409,merged,issue_comment,theletterf,2026-03-16T10:46:33Z,,ci-fix-command,/fix:refcache
9409,https://github.com/open-telemetry/opentelemetry.io/pull/9409,merged,issue_comment,otelbot-docs,2026-03-16T10:54:17Z,,bot-status,✅ `fix:refcache` applied successfully in [run 23139853377](https://github.com/open-telemetry/opentelemetry.io/actions/runs/23139853377).
9433,https://github.com/open-telemetry/opentelemetry.io/pull/9433,merged,review_commented,copilot-pull-request-reviewer,2026-03-17T10:27:35Z,,automated-review-summary,"## Pull request overview

Removes a single ecosystem registry YAML entry as part of a purported “refcache refresh” maintenance update.

**Changes:**
- Deletes the `collector-receiver-k8slog.yml` registry entry (k8slog receiver).


<details>
<summary>Comments suppressed due to low confidence (1)</summary>

**data/registry/collector-receiver-k8slog.yml:1**
* This change deletes the entire `collector-receiver-k8slog.yml` registry entry, which appears unrelated to the stated goal of “Refresh refcache”. If the k8slog receiver is still a valid Collector component (it’s still referenced in `data/collector/receivers.yml` and docs), removing the registry entry will drop it from the ecosystem registry pages; consider restoring it or updating it instead. If the removal is intentional, please update the PR title/description to reflect that this PR also removes a registry entry (and confirm any other references are intentionally left as-is).
</details>



---

You can also share your feedback on Copilot code review. [Take the survey](https://www.surveymonkey.com/r/XP6L3XJ)."
9435,https://github.com/open-telemetry/opentelemetry.io/pull/9435,closed_unmerged,issue_comment,otelbot-docs,2026-03-17T14:26:29Z,,bot-status,✅ `fix:dict` applied successfully in [run 23199067568](https://github.com/open-telemetry/opentelemetry.io/actions/runs/23199067568).
9435,https://github.com/open-telemetry/opentelemetry.io/pull/9435,closed_unmerged,issue_comment,otelbot-docs,2026-03-17T19:08:35Z,,bot-status,✅ `fix:refcache` applied successfully in [run 23211483753](https://github.com/open-telemetry/opentelemetry.io/actions/runs/23211483753).
9435,https://github.com/open-telemetry/opentelemetry.io/pull/9435,closed_unmerged,inline_comment,theletterf,2026-03-24T15:09:25Z,content/en/blog/2026/otel-php-distro-donation-update.md,editorial-wording,"Adoption of OTel in PHP envs, or of PHP itself? It's unclear"
9435,https://github.com/open-telemetry/opentelemetry.io/pull/9435,closed_unmerged,inline_comment,theletterf,2026-03-24T15:10:25Z,content/en/blog/2026/otel-php-distro-donation-update.md,editorial-wording,"> coexist

How?"
9435,https://github.com/open-telemetry/opentelemetry.io/pull/9435,closed_unmerged,review_approved,theletterf,2026-03-24T15:10:47Z,,approval-note,Couple nits!
9435,https://github.com/open-telemetry/opentelemetry.io/pull/9435,closed_unmerged,inline_comment,alexandra5000,2026-03-24T20:17:42Z,content/en/blog/2026/otel-php-distro-donation-update.md,editorial-wording,"```suggestion
OpenTelemetry provides a common observability standard…
```
I would suggest avoiding ""us"" - unclear who it's referring to. Implied yes, and I know what you mean here, but it's not 100% clear 🙂  

I also agree with Fabri that ""environments with strict operational constraints"" sounds a bit vague."
9435,https://github.com/open-telemetry/opentelemetry.io/pull/9435,closed_unmerged,inline_comment,alexandra5000,2026-03-24T20:19:18Z,content/en/blog/2026/otel-php-distro-donation-update.md,editorial-wording,Maybe “into a single deployment model” or “into a unified deployment approach”?
